gene_id	MW1_cornea_mock_1	MW2_cornea_mock_2	MW3_cornea_mock_3	MW4_cornea_CoV2_1	MW5_cornea_CoV2_2	MW6_cornea_CoV2_3
SCD5	501.751236246873	469.890847102509	413.257962049474	494.291859963918	437.106274385284	476.103848487157
SCEL	0	0	0	1.04945193198284	0	0
SCFD1	1482.49181833889	1599.55394507148	1747.57435366676	1523.80420523909	1459.00325599805	1446.15150231345
SCFD2	419.610501318884	367.512394381851	302.146151498436	327.429002778646	282.483646711578	391.364053440262
SCG2	2980.81799521811	3115.1050571414	2780.71925879045	2047.48071929852	1861.41855622577	2438.49910220471
SCG3	0.989647408770953	3.50011804173191	0.974665004833666	1.04945193198284	0.991170690216064	0
SCG5	211.784545476984	266.008971171625	213.451636058573	252.917915607865	224.004575988831	250.874393230937
SCGB1B2P	39.5858963508381	48.1266230738138	49.707915246517	58.7693081910391	65.4172655542603	56.8648624656791
SCGB2B2	11.8757689052514	14.0004721669276	16.5693050821723	14.6923270477598	21.8057551847534	6.68998381949166
SCIMP	0	0	0	0	0.991170690216064	0
SCIN	2.96894222631286	0	0	0	0	1.11499730324861
SCLT1	230.587846243632	210.007082503915	217.350296077908	154.269434001478	158.58731043457	168.36459279054
SCLY	0	0.875029510432978	0	0	1.98234138043213	0
SCMH1	522.533831831063	500.516879967663	470.763197334661	534.171033379266	461.885541640686	531.853713649587
SCML1	479.978993253912	398.138427247005	487.332502416833	516.330350535558	499.550027868896	485.023826913146
SCML2	78.1821452929053	90.1280395745967	106.23848552687	77.6594429667302	89.2053621194458	95.8897680793805
SCN11A	1.97929481754191	2.62508853129893	3.89866001933466	1.04945193198284	3.96468276086426	2.22999460649722
SCN1A	3.95858963508381	1.75005902086596	1.94933000966733	2.09890386396568	3.96468276086426	0
SCN1B	39.5858963508381	31.5010623755872	42.8852602126813	30.4341060275024	36.6733155379944	35.6799137039555
SCN2A	106.881920147263	108.503659293689	113.061140560705	171.060664913203	150.657944912842	159.444614364551
SCN2B	2.96894222631286	7.00023608346382	0.974665004833666	2.09890386396568	2.97351207064819	3.34499190974583
SCN3A	19.7929481754191	7.00023608346382	3.89866001933466	15.7417789797426	30.726291396698	16.7249595487292
SCN3B	6.92753186139667	9.62532461476276	6.82265503383566	13.6428751157769	4.95585345108032	13.3799676389833
SCN4A	0	0	0	1.04945193198284	0	0
SCN4B	2.96894222631286	4.37514755216489	3.89866001933466	4.19780772793136	4.95585345108032	6.68998381949166
SCN5A	0	0.875029510432978	1.94933000966733	0	0	0
SCN7A	0	0	0.974665004833666	1.04945193198284	0	0
SCN8A	639.312226066036	749.025260930629	881.097164369634	913.023180825072	1150.74917134085	796.108074519508
SCN9A	470.082519166203	487.391437311169	521.445777586011	442.868715296759	503.514710629761	344.534166703821
SCNM1	1.97929481754191	3.50011804173191	6.82265503383566	3.14835579594852	1.98234138043213	3.34499190974583
SCNN1A	124.69557350514	111.128747824988	136.453100676713	117.538616382078	131.825701798737	112.61472762811
SCNN1D	46.5134282122348	56.8769181781436	97.4665004833666	88.1539622865587	106.055263853119	75.8198166209055
SCNN1G	2.96894222631286	0	0	0	0	1.11499730324861
SCO1	517.585594787209	630.021247511744	527.293767615013	485.896244508055	439.088615765717	518.473746010604
SCO2	202.877718798045	248.508380962966	148.149080734717	154.269434001478	139.755067320465	239.724420198451
SCOC	1061.89166961123	1169.03942593846	1338.21505163662	1074.63877835043	942.603326395477	914.297788663861
SCOC-AS1	9.89647408770953	10.5003541251957	13.6453100676713	12.5934231837941	5.94702414129639	12.2649703357347
SCP2	1816.99264250347	2097.44573650785	1912.29273948365	1885.86512177317	1879.25962864966	1894.38041821939
SCPEP1	1404.30967304598	1442.04863319355	1389.87229689281	1775.67266891497	1506.57944912842	1798.49065014001
SCRG1	19.7929481754191	24.5008262921234	23.391960116008	40.9286253473308	13.8763896630249	33.4499190974583
SCRIB	942.144333149948	884.654835047741	1217.35659103725	1016.91892209137	1067.4908333627	974.507643039286
SCRN1	3578.56503011577	3586.74596326478	3241.73580607677	3489.42767384295	3367.99800535419	3483.25157534866
SCRN2	331.531881938269	347.386715641892	383.043346899631	383.049955173737	315.192279488708	359.029131646053
SCRN3	472.061813983745	560.893916187539	536.065752658516	540.467744971163	499.550027868896	492.828808035886
SCUBE1	1.97929481754191	1.75005902086596	3.89866001933466	4.19780772793136	0.991170690216064	2.22999460649722
SCUBE2	63.337434161341	47.2515935633808	57.5052352851863	55.6209523950906	46.585022440155	71.3598274079111
SCUBE3	1726.93472830531	1487.55016773606	1628.66522307706	1419.90846397278	1845.55982518231	1416.04657512574
SCYL1	2122.79369181369	1828.81167680492	1728.08105357009	1783.01883243885	1682.01666129666	2159.74977639256
SCYL2	1214.29737056196	1197.04037027231	1342.11371165596	1192.17739473251	1243.91921622116	1098.27234369988
SCYL3	195.950186936649	217.007318587379	192.009005952232	194.148607416826	205.172332874725	177.284571216529
SDAD1	847.138181907936	832.153064421762	910.337114514644	811.226343422736	842.495086683655	749.278187783066
SDAD1P1	47.5030756210058	46.3765640529478	60.4292302996873	67.1649236469018	81.2759965977173	53.5198705559333
SDC1	699.680718001064	690.398283731619	571.153692832528	524.725965991421	477.744272684143	592.063568025012
SDC2	4555.3470225727	4584.27960515837	4007.82249987603	3916.55461015996	3406.65366227261	4233.64476043497
